dataset,model_name,epoch,split,loss,mf_loss,emb_loss,reg_loss,precision@10,recall@10,ndcg@10,precision@20,recall@20,ndcg@20,auc,use_mqm,use_aqg,fixed_weight,n_aspects,noise_ratio,noise_mode,seed
MenClothing_tiny,tune1_eta005_ent5e3_ql03,0,val,0.3272152915596962,0.2741657420992851,0.052895878441631794,0.00015367195010185242,0.0018000000000000004,0.018000000000000002,0.00996390605288699,0.0016000000000000005,0.032000000000000015,0.013480336722770849,0.0,1,1,0,4,0.0,none,978
MenClothing_tiny,tune1_eta005_ent5e3_ql03,5,val,0.19347324594855309,0.16682197153568268,0.026498432271182537,0.00015284180335584097,0.0016000000000000003,0.016,0.009653560664387394,0.0016000000000000005,0.032000000000000015,0.013666656687011254,0.0,1,1,0,4,0.0,none,978
MenClothing_tiny,tune1_eta005_ent5e3_ql03,10,val,0.13274483382701874,0.1118457056581974,0.02073188917711377,0.00016723423686926253,0.0016000000000000003,0.016,0.008623705568701942,0.0018000000000000006,0.03600000000000002,0.013677849562548375,0.0,1,1,0,4,0.0,none,978
MenClothing_tiny,tune1_eta005_ent5e3_ql03,15,val,0.10096832737326622,0.08244769647717476,0.018320348113775253,0.000200279348064214,0.0020000000000000005,0.020000000000000004,0.010282694638009997,0.0018000000000000006,0.03600000000000002,0.014384929622727723,0.0,1,1,0,4,0.0,none,978
MenClothing_tiny,tune1_eta005_ent5e3_ql03,20,val,0.08021497167646885,0.06348422169685364,0.016533244866877794,0.0001975052000489086,0.0018000000000000004,0.018000000000000002,0.010279471928561254,0.0018000000000000006,0.03600000000000002,0.01476920494455433,0.0,1,1,0,4,0.0,none,978
MenClothing_tiny,tune1_eta005_ent5e3_ql03,25,val,0.06916894763708115,0.053322577849030495,0.015639981254935265,0.00020639001741074026,0.0018000000000000004,0.018000000000000002,0.011001505078487694,0.0019000000000000006,0.03800000000000002,0.016030621061436844,0.0,1,1,0,4,0.0,none,978
