epoch,w_img,w_txt,q_img,q_txt,use_mqm,use_aqg,fixed_weight,n_aspects,noise_ratio,noise_mode
0,0.524527,0.475473,0.551751,0.489583,1,1,0,4,0.3,gaussian
1,0.491913,0.508087,0.514977,0.489595,1,1,0,4,0.3,gaussian
2,0.519181,0.480819,0.559946,0.485102,1,1,0,4,0.3,gaussian
3,0.547217,0.452783,0.627602,0.479372,1,1,0,4,0.3,gaussian
4,0.567534,0.432466,0.702407,0.471520,1,1,0,4,0.3,gaussian
5,0.586336,0.413664,0.774716,0.460611,1,1,0,4,0.3,gaussian
6,0.604956,0.395044,0.839378,0.450362,1,1,0,4,0.3,gaussian
7,0.620738,0.379262,0.881590,0.438077,1,1,0,4,0.3,gaussian
8,0.632696,0.367304,0.911204,0.425006,1,1,0,4,0.3,gaussian
9,0.639563,0.360437,0.932360,0.410074,1,1,0,4,0.3,gaussian
10,0.645456,0.354544,0.951032,0.395961,1,1,0,4,0.3,gaussian
11,0.651497,0.348503,0.964537,0.380082,1,1,0,4,0.3,gaussian
12,0.658901,0.341099,0.973379,0.364249,1,1,0,4,0.3,gaussian
13,0.666352,0.333648,0.980819,0.347915,1,1,0,4,0.3,gaussian
14,0.673284,0.326716,0.985893,0.330384,1,1,0,4,0.3,gaussian
15,0.679538,0.320462,0.988876,0.315576,1,1,0,4,0.3,gaussian
16,0.681677,0.318323,0.991121,0.303431,1,1,0,4,0.3,gaussian
17,0.684006,0.315994,0.992876,0.285897,1,1,0,4,0.3,gaussian
18,0.685824,0.314176,0.994014,0.272774,1,1,0,4,0.3,gaussian
19,0.691138,0.308862,0.994838,0.258795,1,1,0,4,0.3,gaussian
20,0.694097,0.305903,0.995703,0.246662,1,1,0,4,0.3,gaussian
21,0.699202,0.300798,0.996022,0.232792,1,1,0,4,0.3,gaussian
22,0.701848,0.298152,0.996410,0.220541,1,1,0,4,0.3,gaussian
23,0.704971,0.295029,0.996677,0.209422,1,1,0,4,0.3,gaussian
24,0.706192,0.293808,0.996909,0.200797,1,1,0,4,0.3,gaussian
25,0.708806,0.291194,0.997129,0.190293,1,1,0,4,0.3,gaussian
26,0.710871,0.289129,0.997359,0.181710,1,1,0,4,0.3,gaussian
27,0.713091,0.286909,0.997460,0.174010,1,1,0,4,0.3,gaussian
28,0.715012,0.284988,0.997423,0.166759,1,1,0,4,0.3,gaussian
29,0.716299,0.283701,0.997568,0.159137,1,1,0,4,0.3,gaussian
