epoch,w_img,w_txt,q_img,q_txt,use_mqm,use_aqg,fixed_weight,n_aspects,noise_ratio,noise_mode
0,0.542001,0.457999,0.535693,0.491601,1,1,0,1,0.0,none
1,0.443236,0.556764,0.485586,0.493404,1,1,0,1,0.0,none
2,0.518154,0.481846,0.550872,0.487404,1,1,0,1,0.0,none
3,0.577585,0.422415,0.633605,0.480409,1,1,0,1,0.0,none
4,0.597290,0.402710,0.703814,0.472768,1,1,0,1,0.0,none
5,0.609018,0.390982,0.762727,0.463064,1,1,0,1,0.0,none
6,0.625980,0.374020,0.816078,0.454619,1,1,0,1,0.0,none
7,0.648693,0.351307,0.852739,0.444209,1,1,0,1,0.0,none
8,0.665212,0.334787,0.879372,0.433472,1,1,0,1,0.0,none
9,0.667460,0.332540,0.897855,0.421561,1,1,0,1,0.0,none
10,0.666687,0.333313,0.916955,0.410835,1,1,0,1,0.0,none
11,0.671025,0.328975,0.933797,0.397522,1,1,0,1,0.0,none
12,0.683814,0.316186,0.947351,0.384089,1,1,0,1,0.0,none
13,0.698052,0.301948,0.959205,0.369603,1,1,0,1,0.0,none
14,0.709611,0.290389,0.968623,0.354903,1,1,0,1,0.0,none
15,0.720958,0.279042,0.974675,0.343112,1,1,0,1,0.0,none
16,0.718837,0.281163,0.978834,0.334745,1,1,0,1,0.0,none
17,0.715204,0.284796,0.982079,0.321449,1,1,0,1,0.0,none
18,0.713457,0.286543,0.984292,0.312314,1,1,0,1,0.0,none
19,0.724429,0.275571,0.986370,0.301979,1,1,0,1,0.0,none
20,0.728010,0.271990,0.988242,0.293253,1,1,0,1,0.0,none
21,0.736515,0.263485,0.988891,0.283255,1,1,0,1,0.0,none
22,0.736551,0.263449,0.989981,0.275108,1,1,0,1,0.0,none
23,0.740804,0.259196,0.990400,0.268018,1,1,0,1,0.0,none
24,0.739442,0.260558,0.991001,0.263389,1,1,0,1,0.0,none
25,0.742510,0.257489,0.991657,0.256462,1,1,0,1,0.0,none
26,0.744890,0.255110,0.992383,0.251264,1,1,0,1,0.0,none
27,0.747606,0.252394,0.992496,0.246395,1,1,0,1,0.0,none
28,0.748719,0.251281,0.992331,0.243119,1,1,0,1,0.0,none
29,0.748380,0.251620,0.992658,0.238256,1,1,0,1,0.0,none
