epoch,w_img,w_txt,q_img,q_txt,use_mqm,use_aqg,fixed_weight,n_aspects,noise_ratio,noise_mode
0,0.508758,0.491242,0.508803,0.494858,1,1,0,4,0.0,none
1,0.483210,0.516790,0.435836,0.499521,1,1,0,4,0.0,none
2,0.501662,0.498338,0.527574,0.489723,1,1,0,4,0.0,none
3,0.512895,0.487105,0.609234,0.481546,1,1,0,4,0.0,none
4,0.513422,0.486578,0.639849,0.477778,1,1,0,4,0.0,none
5,0.513408,0.486592,0.645513,0.474961,1,1,0,4,0.0,none
6,0.514978,0.485022,0.646315,0.475571,1,1,0,4,0.0,none
7,0.517830,0.482170,0.634406,0.476514,1,1,0,4,0.0,none
8,0.519101,0.480899,0.610134,0.479348,1,1,0,4,0.0,none
9,0.516740,0.483260,0.583513,0.482002,1,1,0,4,0.0,none
10,0.514961,0.485039,0.560571,0.486452,1,1,0,4,0.0,none
11,0.514506,0.485494,0.543408,0.488817,1,1,0,4,0.0,none
12,0.516955,0.483045,0.540258,0.490826,1,1,0,4,0.0,none
13,0.518897,0.481103,0.527372,0.490940,1,1,0,4,0.0,none
14,0.520346,0.479654,0.521014,0.493204,1,1,0,4,0.0,none
15,0.521976,0.478024,0.487339,0.497056,1,1,0,4,0.0,none
16,0.519969,0.480031,0.448432,0.505635,1,1,0,4,0.0,none
17,0.517243,0.482757,0.410469,0.510281,1,1,0,4,0.0,none
18,0.515316,0.484684,0.380222,0.514964,1,1,0,4,0.0,none
19,0.517675,0.482325,0.363996,0.518234,1,1,0,4,0.0,none
20,0.517761,0.482239,0.355853,0.520986,1,1,0,4,0.0,none
21,0.519608,0.480392,0.336122,0.523918,1,1,0,4,0.0,none
22,0.519101,0.480899,0.320650,0.528062,1,1,0,4,0.0,none
23,0.519206,0.480794,0.299859,0.533199,1,1,0,4,0.0,none
24,0.517706,0.482294,0.274927,0.539091,1,1,0,4,0.0,none
25,0.518193,0.481808,0.251869,0.543018,1,1,0,4,0.0,none
26,0.518383,0.481617,0.232350,0.548012,1,1,0,4,0.0,none
27,0.518588,0.481412,0.212780,0.553855,1,1,0,4,0.0,none
28,0.518050,0.481950,0.188778,0.560535,1,1,0,4,0.0,none
29,0.517257,0.482743,0.167578,0.564905,1,1,0,4,0.0,none
