epoch,w_img,w_txt,q_img,q_txt,use_mqm,use_aqg,fixed_weight,n_aspects,noise_ratio,noise_mode
0,0.530801,0.469199,0.545376,0.490330,1,1,0,2,0.0,none
1,0.474720,0.525280,0.504148,0.490829,1,1,0,2,0.0,none
2,0.518676,0.481324,0.555563,0.485837,1,1,0,2,0.0,none
3,0.556946,0.443054,0.627184,0.479726,1,1,0,2,0.0,none
4,0.576943,0.423057,0.701047,0.471888,1,1,0,2,0.0,none
5,0.593990,0.406010,0.770428,0.461237,1,1,0,2,0.0,none
6,0.611978,0.388022,0.831428,0.451616,1,1,0,2,0.0,none
7,0.629600,0.370400,0.870044,0.440018,1,1,0,2,0.0,none
8,0.642806,0.357194,0.897225,0.427842,1,1,0,2,0.0,none
9,0.647659,0.352341,0.916612,0.414073,1,1,0,2,0.0,none
10,0.651287,0.348713,0.934798,0.401322,1,1,0,2,0.0,none
11,0.656677,0.343323,0.949528,0.386530,1,1,0,2,0.0,none
12,0.666198,0.333802,0.960158,0.371787,1,1,0,2,0.0,none
13,0.676308,0.323692,0.970505,0.356197,1,1,0,2,0.0,none
14,0.684871,0.315129,0.978177,0.339764,1,1,0,2,0.0,none
15,0.693179,0.306821,0.983082,0.325954,1,1,0,2,0.0,none
16,0.694040,0.305960,0.986534,0.314923,1,1,0,2,0.0,none
17,0.694846,0.305154,0.989401,0.298599,1,1,0,2,0.0,none
18,0.695418,0.304582,0.991202,0.286657,1,1,0,2,0.0,none
19,0.702905,0.297095,0.992576,0.273697,1,1,0,2,0.0,none
20,0.705948,0.294052,0.993860,0.262344,1,1,0,2,0.0,none
21,0.712545,0.287455,0.994370,0.249448,1,1,0,2,0.0,none
22,0.714556,0.285444,0.994975,0.238307,1,1,0,2,0.0,none
23,0.718088,0.281912,0.995339,0.228241,1,1,0,2,0.0,none
24,0.718469,0.281531,0.995702,0.220663,1,1,0,2,0.0,none
25,0.721252,0.278748,0.996030,0.211094,1,1,0,2,0.0,none
26,0.723535,0.276465,0.996377,0.203405,1,1,0,2,0.0,none
27,0.726110,0.273890,0.996513,0.196261,1,1,0,2,0.0,none
28,0.727921,0.272079,0.996468,0.189995,1,1,0,2,0.0,none
29,0.728808,0.271192,0.996657,0.182862,1,1,0,2,0.0,none
