epoch,w_img,w_txt,q_img,q_txt,use_mqm,use_aqg,fixed_weight,n_aspects,noise_ratio,noise_mode
0,0.510128,0.489872,0.514485,0.494095,1,1,0,4,0.0,none
1,0.481649,0.518351,0.452579,0.497549,1,1,0,4,0.0,none
2,0.505133,0.494867,0.546848,0.487999,1,1,0,4,0.0,none
3,0.521035,0.478965,0.627258,0.480291,1,1,0,4,0.0,none
4,0.523187,0.476813,0.656098,0.476832,1,1,0,4,0.0,none
5,0.522848,0.477152,0.656095,0.474574,1,1,0,4,0.0,none
6,0.523980,0.476020,0.653683,0.475344,1,1,0,4,0.0,none
7,0.526549,0.473451,0.644520,0.475571,1,1,0,4,0.0,none
8,0.527650,0.472350,0.632246,0.476545,1,1,0,4,0.0,none
9,0.525530,0.474470,0.625449,0.476198,1,1,0,4,0.0,none
10,0.524137,0.475863,0.625681,0.477034,1,1,0,4,0.0,none
11,0.524689,0.475311,0.634621,0.475530,1,1,0,4,0.0,none
12,0.529018,0.470982,0.657655,0.473936,1,1,0,4,0.0,none
13,0.532496,0.467504,0.669947,0.470948,1,1,0,4,0.0,none
14,0.534797,0.465203,0.677358,0.470739,1,1,0,4,0.0,none
15,0.535241,0.464759,0.650790,0.472895,1,1,0,4,0.0,none
16,0.530787,0.469213,0.609343,0.479930,1,1,0,4,0.0,none
17,0.526654,0.473346,0.578038,0.481910,1,1,0,4,0.0,none
18,0.524675,0.475325,0.568341,0.483327,1,1,0,4,0.0,none
19,0.528480,0.471520,0.581826,0.482734,1,1,0,4,0.0,none
20,0.529999,0.470001,0.597976,0.482221,1,1,0,4,0.0,none
21,0.532451,0.467549,0.597790,0.481984,1,1,0,4,0.0,none
22,0.531953,0.468047,0.591948,0.483224,1,1,0,4,0.0,none
23,0.531662,0.468338,0.579900,0.485998,1,1,0,4,0.0,none
24,0.528868,0.471132,0.556030,0.490174,1,1,0,4,0.0,none
25,0.528383,0.471617,0.538293,0.492187,1,1,0,4,0.0,none
26,0.527998,0.472002,0.525204,0.494269,1,1,0,4,0.0,none
27,0.527889,0.472111,0.514382,0.497164,1,1,0,4,0.0,none
28,0.526960,0.473040,0.500980,0.499946,1,1,0,4,0.0,none
29,0.526222,0.473778,0.493997,0.500111,1,1,0,4,0.0,none
