dataset,model_name,epoch,split,loss,mf_loss,emb_loss,reg_loss,precision@10,recall@10,ndcg@10,precision@20,recall@20,ndcg@20,auc,use_mqm,use_aqg,fixed_weight,n_aspects,noise_ratio,noise_mode,seed
MenClothing_tiny,noise03_tiny_e30,0,val,0.28956368565559387,0.23653405904769897,0.05299301538616419,3.661117170850048e-05,0.0018000000000000004,0.018000000000000002,0.009882421432242404,0.0016000000000000005,0.032000000000000015,0.013376554639164902,0.0,1,1,0,4,0.3,gaussian,978
MenClothing_tiny,noise03_tiny_e30,5,val,0.1667717695236206,0.1401151865720749,0.026576736010611057,7.984787589521147e-05,0.0018000000000000004,0.018000000000000002,0.009918158345337613,0.0016000000000000005,0.032000000000000015,0.013351450643186243,0.0,1,1,0,4,0.3,gaussian,978
MenClothing_tiny,noise03_tiny_e30,10,val,0.11279036477208138,0.09186057187616825,0.02077253395691514,0.00015726081255706958,0.0016000000000000003,0.016,0.008054067055383524,0.0017000000000000006,0.034000000000000016,0.01275483615304514,0.0,1,1,0,4,0.3,gaussian,978
MenClothing_tiny,noise03_tiny_e30,15,val,0.08566669374704361,0.06709349900484085,0.018347807694226503,0.00022538872144650668,0.0020000000000000005,0.020000000000000004,0.009850813496191605,0.0018000000000000006,0.03600000000000002,0.013909879360498093,0.0,1,1,0,4,0.3,gaussian,978
MenClothing_tiny,noise03_tiny_e30,20,val,0.06750164180994034,0.05070760566741228,0.01653361925855279,0.00026041515957331285,0.0018000000000000004,0.018000000000000002,0.009831326228978123,0.0016000000000000005,0.032000000000000015,0.013400477801881834,0.0,1,1,0,4,0.3,gaussian,978
MenClothing_tiny,noise03_tiny_e30,25,val,0.05817929655313492,0.04226127453148365,0.015618595760315657,0.00029942559194751084,0.0024000000000000007,0.024000000000000007,0.010985880636578273,0.0020000000000000005,0.04000000000000002,0.014874145019006793,0.0,1,1,0,4,0.3,gaussian,978
